material,A_Z,A_r_s,A_r_val,A_r_s_1,A_r_val_1,A_eps_H,A_eps_L,A_EA,A_IP,A_EN,n_A,n_B,B_Z,B_r_s,B_r_val,B_r_s_1,B_r_val_1,B_eps_H,B_eps_L,B_EA,B_IP,B_EN
Pa2CuRhO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,37.0,1.3225500000000001,0.9058999999999999,1.2256,0.8664000000000001,-4.04619491839342,-4.04619491839342,-0.8923824170264355,8.3560733264457,3.731845454709635
Pa2CuPdO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,37.5,1.3032,0.88975,1.2041499999999998,0.8512500000000001,-4.335869912551045,-3.973614919857265,-0.8423541180235394,8.69781516958776,3.927730525782115
Pa2CuAgO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,38.0,1.2579500000000001,1.2579500000000001,1.1857,1.1857,-4.47691490970635,-4.47691490970635,-1.20837396063469,8.103829831545436,3.447727935455375
Pa2CuCdO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,38.5,1.21535,1.21535,1.15245,1.15245,-5.122434896687035,-2.688709945772156,0.12409086249101497,8.825057767028206,4.474574314759614
Pa2CuSnO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,39.5,1.13235,1.2764,1.0865,1.2037,-4.08933991752324,-4.08933991752324,-0.9295741662390085,7.604402991645575,3.3374144127032848
Pa2CuSbO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,40.0,1.1010499999999999,1.2187000000000001,1.0583,1.15455,-4.68101490558991,-4.68101490558991,-1.358219457617245,8.33523677688577,3.488508659634265
Pa2CuHfO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,50.5,1.3676,1.04725,1.28905,0.99465,-3.57777492784085,-3.57777492784085,-0.1402124321711295,7.4496174447606105,3.654702506294745
Pa2CuTaO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,51.0,1.3319,1.0180500000000001,1.2521,0.97035,-4.05802991815472,-4.05802991815472,-0.474310675381177,8.0481155326678,3.786902428643315
Pa2CuWO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,51.5,1.30205,0.9947999999999999,1.23155,0.9529,-4.51974990884242,-4.51974990884242,-0.8214653684981905,8.574414171983399,3.876474401742605
Pa2CuReO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,52.0,1.27625,0.9753000000000001,1.21655,0.93805,-4.973234899696211,-4.973234899696211,-1.1398472619890199,8.807021967439265,3.833587352725125
Pa2CuOsO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,52.5,1.2558,0.959,1.2025000000000001,0.9234,-5.30720489296046,-5.30720489296046,-1.5375385540697248,8.746411618546656,3.604436532238465
Pa2CuIrO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,53.0,1.24495,0.94635,1.1834500000000001,0.9089,-5.16400989584852,-5.16400989584852,-1.738460599949095,8.71543781923134,3.488488609641125
Pa2CuPtO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,53.5,1.2337500000000001,0.9347,1.16635,0.8965,-5.0079698989956505,-5.0079698989956505,-1.71518745040766,8.843048266631365,3.563930408111855
Pa2CuAuO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,54.0,1.21075,1.21075,1.1498499999999998,1.1498499999999998,-5.17751489557614,-5.17751489557614,-1.778656249167215,8.897139565596685,3.5592416582147353
Pa2CuHgO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,54.5,1.1814,1.1814,1.1242,1.1242,-5.71503488473505,-2.6430699466926564,0.21614516069788503,9.562724452111237,4.889434806404565
