material,lattice_constant,bulk_modulus,cohesive_energy,A_r_s,A_r_val,A_r_s_1,A_r_val_1,A_Z,A_eps_H,A_eps_L,A_EA,A_IP,A_EN,n_A,n_B,B_r_s,B_r_val,B_r_s_1,B_r_val_1,B_Z,B_eps_H,B_eps_L,B_EA,B_IP,B_EN
BeVO3,3.67719784,1.36293582395,7.10791181456007,1.08425,1.08425,1.01395,1.01395,4,-5.51114995459499,-1.88869998443947,0.973743321477615,9.43301272728375,5.20337802438068,2,4,1.47915,0.47555,1.40435,0.47775,23,-4.42466996354623,-4.42466996354623,-0.105595059134819,7.21880600052479,3.55660547069498
BeWO3,3.8618659,1.4465289612,7.46882277979457,1.08425,1.08425,1.01395,1.01395,4,-5.51114995459499,-1.88869998443947,0.973743321477615,9.43301272728375,5.20337802438068,2,4,1.40525,0.79075,1.33475,0.77745,74,-4.46415996322088,-4.46415996322088,-0.408239396770123,8.81585142720564,4.20380601521776
BeZnO3,3.70720921,0.870915382336,4.22102306165907,1.08425,1.08425,1.01395,1.01395,4,-5.51114995459499,-1.88869998443947,0.973743321477615,9.43301272728375,5.20337802438068,2,4,1.10495,1.10495,1.05065,1.05065,30,-5.9780399507484,-0.698699994243583,1.59776491684157,9.94132284809543,5.7695438824685
BeZrO3,4.05238843,1.04429098233,7.10647560780053,1.08425,1.08425,1.01395,1.01395,4,-5.51114995459499,-1.88869998443947,0.973743321477615,9.43301272728375,5.20337802438068,2,4,1.66825,0.84555,1.57665,0.82885,40,-3.45485997153626,-3.45485997153626,0.209905868274849,7.1079966614469,3.65895126486087
CaAgO3,3.96570073,0.879320029036,5.19749145459791,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.31705,1.31705,1.24305,1.24305,47,-4.3784899639267,-4.3784899639267,-1.18205659027474,7.87468273510161,3.34631307241344
CaAlO3,3.71035721,1.05557070011,7.08029482999955,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.10775,1.39955,1.05735,1.24815,13,-2.5456999790266,-2.5456999790266,0.341120609189343,5.7268123878179,3.03396649850362
CaBiO3,4.28654243,0.773625514935,5.96963318980706,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,0.98985,1.30035,0.98175,1.24685,83,-4.52188996274526,-4.52188996274526,-1.3873439885512,7.92763603471,3.2701460230794
CaCdO3,4.06892707,0.606146579159,4.89002205460274,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.23185,1.23185,1.17655,1.17655,48,-5.66952995329014,-0.80207999339186,1.4828730877692,9.3171386232756,5.4000058555224
CaCoO3,3.67953509,1.09355076902,6.79288432731846,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.29155,0.35895,1.19155,0.36135,27,-4.41284996364361,-4.41284996364361,-1.07005130118966,7.65850740690399,3.29422805285716
CaCrO3,3.70222066,1.32816244386,7.98081999202041,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.42455,0.43935,1.34675,0.44105,24,-4.42488996354442,-4.42488996354442,-0.503656315849902,7.30853834978004,3.40244101696507
CaCuO3,3.73938012,0.931167149943,5.78691485270101,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.19885,1.19885,1.12835,1.12835,29,-4.5753399623049,-4.5753399623049,-1.23469135982637,8.33297712134612,3.54914288075987
CaFeO3,3.67561945,1.26596880207,7.22481299410138,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.33295,0.38215,1.23965,0.38635,26,-4.40060996374446,-4.40060996374446,-0.997517531789624,7.47176953842758,3.23712600331898
CaGaO3,3.83264006,0.955011089854,6.20949283501977,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.00335,1.33975,0.97045,1.20865,31,-2.42898997998815,-2.42898997998815,0.450211216292945,5.67270237326794,3.06145679478044
CaGeO3,3.73823192,1.19300087474,6.81503348116094,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,0.92235,1.17105,0.90585,1.09295,32,-3.8244499684913,-3.8244499684913,-0.570452135301915,7.44894692860485,3.43924739665147
CaMnO3,3.68200925,1.20872990174,7.62612859325964,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.36815,0.40825,1.30255,0.40875,25,-4.37895996392283,-4.37895996392283,-0.575037685258773,7.39822451904905,3.41159341689514
CaMoO3,3.90825782,1.28884030035,8.29624680620036,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.53775,0.72745,1.46475,0.72195,42,-4.27918996474481,-4.27918996474481,-1.14474589052513,7.00728034230322,2.93126722588905
CaNbO3,3.98351378,1.1976535006,8.42258489540254,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.57595,0.77355,1.52635,0.77375,41,-4.58042996226296,-4.58042996226296,-0.660734894550011,7.16521534098014,3.25224022321507
CaNiO3,3.70955464,0.997111228889,6.33994802644011,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.25315,0.33775,1.14775,0.33945,28,-4.41903996359262,-4.41903996359262,-1.06489142121737,7.8785395951004,3.40682408694151
CaPbO3,4.19516759,0.782495314395,5.8444613992091,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.03965,1.40285,1.02775,1.32055,82,-3.38806997208652,-3.38806997208652,-0.461033296234442,6.57195824598203,3.05546247487379
CaPdO3,3.90870275,0.825718493589,5.68858366560016,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.40755,0.58065,1.27995,0.57415,46,-4.09639996625077,-3.37188997221983,-0.450016896319226,9.06265342535871,4.30631826451974
CaPtO3,3.93410687,1.13769267213,6.17171985840832,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.26865,0.67055,1.20435,0.66465,78,-5.44059995517624,-5.44059995517624,-2.19568358191321,9.35311962291117,3.57871802049898
CaRhO3,3.86980618,1.17171418959,6.49620535099821,1.80005,1.80005,1.66375,1.66375,20,-3.71750996937235,-1.87193998457755,1.17546704031503,6.27484431830738,3.7251556793112,2,4,1.44625,0.61295,1.32285,0.60445,45,-3.51704997102389,-3.51704997102389,-0.55007349551869,8.37916973092065,3.91454811770098
